Modelo,Horizonte,ES_R2,ES_MAE,ES_RMSE,RS_R2,RS_MAE,RS_RMSE
Random Forest,1,0.551,44.13,61.55,0.363,139.93,187.62
Random Forest,2,0.403,50.88,70.92,0.213,161.24,208.64
Random Forest,3,0.336,54.07,74.79,0.09,176.62,224.32
Random Forest,4,0.336,55.29,74.81,-0.049,189.45,240.88
Random Forest,5,0.329,56.73,75.22,-0.092,194.1,245.72
Random Forest,6,0.249,60.15,79.58,-0.142,199.55,251.3
Gradient Boosting,1,0.572,42.89,60.1,0.357,138.09,188.5
Gradient Boosting,2,0.437,49.46,68.88,0.197,162.32,210.75
Gradient Boosting,3,0.374,52.25,72.65,0.084,175.41,225.1
Gradient Boosting,4,0.354,54.35,73.8,0.001,183.36,235.08
Gradient Boosting,5,0.343,56.23,74.46,-0.063,189.75,242.45
Gradient Boosting,6,0.275,59.32,78.22,-0.086,192.09,245.02
XGBoost,1,,,,,,
XGBoost,2,,,,,,
XGBoost,3,,,,,,
XGBoost,4,,,,,,
XGBoost,5,,,,,,
XGBoost,6,,,,,,
LightGBM,1,,,,,,
LightGBM,2,,,,,,
LightGBM,3,,,,,,
LightGBM,4,,,,,,
LightGBM,5,,,,,,
LightGBM,6,,,,,,
MLP,1,,,,,,
MLP,2,,,,,,
MLP,3,,,,,,
MLP,4,,,,,,
MLP,5,,,,,,
MLP,6,,,,,,
LSTM,1,,,,,,
LSTM,2,,,,,,
LSTM,3,,,,,,
LSTM,4,,,,,,
LSTM,5,,,,,,
LSTM,6,,,,,,
GRU,1,,,,,,
GRU,2,,,,,,
GRU,3,,,,,,
GRU,4,,,,,,
GRU,5,,,,,,
GRU,6,,,,,,
TCN,1,,,,,,
TCN,2,,,,,,
TCN,3,,,,,,
TCN,4,,,,,,
TCN,5,,,,,,
TCN,6,,,,,,
Transformer,1,,,,,,
Transformer,2,,,,,,
Transformer,3,,,,,,
Transformer,4,,,,,,
Transformer,5,,,,,,
Transformer,6,,,,,,
